"date","close","volume","open","high","low"
"2017/05/22","38.3000","42535.0000","38.4500","38.6100","38.0000"
"2017/05/19","38.2000","77271.0000","37.0500","38.4000","36.9880"
"2017/05/18","37.0500","84307.0000","36.9000","37.2000","36.4000"
"2017/05/17","36.8500","170911.0000","36.5000","37.1000","36.3500"
"2017/05/16","36.7500","79052.0000","37.2500","37.4000","36.5000"
"2017/05/15","36.8000","94138.0000","38.3500","38.3500","36.2500"
"2017/05/12","37.0000","160517.0000","37.6000","37.6000","36.5000"
"2017/05/11","37.5500","154063.0000","37.2500","37.6000","36.9000"
"2017/05/10","37.4000","255568.0000","38.0000","38.0000","36.7250"
"2017/05/09","38.4000","65092.0000","38.5000","38.6000","38.0000"
"2017/05/08","38.4500","100993.0000","39.0000","39.0000","37.8500"
"2017/05/05","38.6000","126079.0000","38.0000","38.7000","37.5500"
"2017/05/04","37.8500","472184.0000","39.4500","40.3500","37.1500"
"2017/05/03","41.0000","102454.0000","44.2000","44.2000","40.9000"
"2017/05/02","44.2500","27288.0000","44.5000","44.9000","44.1000"
"2017/05/01","44.5500","20732.0000","44.9000","44.9500","44.3500"
"2017/04/28","44.6000","24852.0000","45.4000","45.4000","44.4500"
"2017/04/27","45.4000","34276.0000","45.1000","45.4000","44.8500"
"2017/04/26","45.0000","15306.0000","44.7500","45.3500","44.7500"
"2017/04/25","44.7750","30561.0000","44.5000","44.9500","44.5000"
"2017/04/24","44.4500","34067.0000","45.1500","45.6500","44.3500"
"2017/04/21","45.0500","23736.0000","45.8380","45.9500","44.8310"
"2017/04/20","46.0500","34807.0000","46.1500","46.4500","45.8500"
"2017/04/19","46.0500","20643.0000","46.2500","46.8000","46.0000"
"2017/04/18","46.1500","22789.0000","45.7000","46.2500","45.4500"
"2017/04/17","45.9500","15521.0000","45.6000","46.0499","45.6000"
"2017/04/13","45.7500","23581.0000","46.2000","46.6500","45.6500"
"2017/04/12","46.4500","35601.0000","47.0750","47.1500","46.3000"
"2017/04/11","47.1500","13043.0000","47.0000","47.4950","46.9358"
"2017/04/10","47.2000","18302.0000","47.4500","47.7500","46.9001"
"2017/04/07","47.5000","11232.0000","47.5000","47.6000","47.1742"
"2017/04/06","47.7500","31534.0000","48.2000","48.2000","47.0480"
"2017/04/05","48.1000","47086.0000","48.1500","48.7000","47.8500"
"2017/04/04","47.9500","71362.0000","47.7000","48.1718","47.3000"
"2017/04/03","47.7500","39044.0000","49.0000","49.0000","47.7000"
"2017/03/31","48.7500","39391.0000","48.2000","48.8000","47.9000"
"2017/03/30","48.1000","35043.0000","47.3500","48.2000","47.0753"
"2017/03/29","47.2500","60550.0000","47.4250","47.4250","46.6500"
"2017/03/28","47.1500","58382.0000","46.7000","47.4070","46.3021"
"2017/03/27","46.4500","93228.0000","44.7500","46.4500","44.1500"
"2017/03/24","44.5000","10619.0000","44.4050","44.9500","44.1050"
"2017/03/23","44.4000","37687.0000","44.0000","44.7000","44.0000"
"2017/03/22","44.2000","18976.0000","43.5000","44.3000","43.5000"
"2017/03/21","43.7500","24365.0000","44.7500","44.8000","43.6500"
"2017/03/20","44.7500","15938.0000","45.3000","45.3000","44.4600"
"2017/03/17","45.5500","40393.0000","46.4000","46.4000","45.5000"
"2017/03/16","46.0500","61490.0000","45.8500","46.1000","45.6500"
"2017/03/15","45.7500","21602.0000","45.1000","45.8000","44.9501"
"2017/03/14","45.1000","27125.0000","44.8500","45.1000","44.5000"
"2017/03/13","44.8000","22322.0000","45.5000","45.7000","44.7750"
"2017/03/10","45.6000","40721.0000","46.1000","46.1000","45.1500"
"2017/03/09","45.7000","63614.0000","45.9000","46.0048","45.4000"
"2017/03/08","45.7500","87631.0000","45.4000","45.7500","45.0000"
"2017/03/07","44.6000","58894.0000","44.0000","44.8750","44.0000"
"2017/03/06","44.1000","47067.0000","44.1000","44.3000","43.6000"
"2017/03/03","44.2000","72765.0000","44.2500","44.7000","43.9500"
"2017/03/02","44.4500","59366.0000","45.8000","45.9500","44.3500"
"2017/03/01","45.9000","41296.0000","46.1000","46.6000","45.6000"
"2017/02/28","45.5500","56372.0000","46.1000","46.1000","45.5250"
"2017/02/27","46.0500","54673.0000","46.6000","46.6000","45.9010"
"2017/02/24","46.6500","103617.0000","46.4000","46.8000","45.9000"
"2017/02/23","46.6500","30865.0000","47.4000","47.4000","46.3500"
"2017/02/22","47.3500","25578.0000","47.4500","47.6131","47.1500"
"2017/02/21","47.6000","25485.0000","46.8500","47.7500","46.8500"
"2017/02/17","47.0000","25782.0000","47.2000","47.2500","46.6000"
"2017/02/16","47.2000","24809.0000","47.5000","47.8000","47.0000"
"2017/02/15","47.8000","27746.0000","47.1500","47.8500","47.1500"
"2017/02/14","47.4000","40487.0000","46.4500","47.5000","46.2500"
