"date","close","volume","open","high","low"
"2017/05/19","81.9300","12924950.0000","82.0000","82.0900","81.6950"
"2017/05/18","81.7500","9905779.0000","81.7700","82.1500","81.4200"
"2017/05/17","81.9900","11135260.0000","82.3000","83.0400","81.9600"
"2017/05/16","82.5500","9570105.0000","82.9000","83.2300","82.4500"
"2017/05/15","82.8000","10776270.0000","83.0000","83.1829","82.6500"
"2017/05/12","82.5500","7479472.0000","82.3900","82.7100","82.2500"
"2017/05/11","82.6100","10045800.0000","82.5900","82.7100","82.1000"
"2017/05/10","81.9100","9520140.0000","82.1200","82.3700","81.6500"
"2017/05/09","82.3100","8639556.0000","82.9600","83.0000","82.1600"
"2017/05/08","82.8900","8095346.0000","82.0000","82.9400","82.0000"
"2017/05/05","82.0200","10211700.0000","81.6300","82.2350","81.6100"
"2017/05/04","81.6400","16162050.0000","82.2900","82.3600","81.4000"
"2017/05/03","82.7000","10280090.0000","81.9700","83.0699","81.9100"
"2017/05/02","82.0500","9019873.0000","82.1400","82.5900","81.9000"
"2017/05/01","82.0600","8664070.0000","81.5100","82.2100","81.4800"
"2017/04/28","81.6500","12070750.0000","82.4600","82.4900","81.5600"
"2017/04/27","81.2600","12376230.0000","81.0700","81.3000","80.9400"
"2017/04/26","81.4000","9436387.0000","81.5200","82.3300","81.3901"
"2017/04/25","81.7300","10714480.0000","81.4300","81.9301","81.2801"
"2017/04/24","81.1100","8717526.0000","81.2800","81.4000","80.8100"
"2017/04/21","80.6900","9812006.0000","80.9300","81.0000","80.4700"
"2017/04/20","81.0100","11642830.0000","80.9500","81.7400","80.7000"
"2017/04/19","80.4900","10757800.0000","81.1700","81.5100","80.3000"
"2017/04/18","81.0500","8815821.0000","81.3200","81.8200","81.0300"
"2017/04/17","81.5800","9574433.0000","81.8500","81.9700","81.4350"
"2017/04/13","81.6900","8660761.0000","82.7200","82.7290","81.5700"
"2017/04/12","82.9700","9515239.0000","82.8600","83.3500","82.7000"
"2017/04/11","82.8400","8575677.0000","83.0800","83.1700","82.4200"
"2017/04/10","83.1300","8884528.0000","83.1200","83.4700","82.9200"
